file_asli,file_hasil,status,keterangan,dimensi_asli,ukuran_asli,ukuran_hasil
jpx_labubu_slippers_cream.png,jpx_labubu_slippers_cream.png,processed,diresize ke 100x100,128x128,74.9 KB,8.3 KB
jpx_labubu_slippers_gray.png,jpx_labubu_slippers_gray.png,processed,diresize ke 100x100,128x128,76.8 KB,9.5 KB
jpx_labubu_slippers_green.png,jpx_labubu_slippers_green.png,processed,diresize ke 100x100,128x128,77.2 KB,9.8 KB
jpx_labubu_slippers_pink.png,jpx_labubu_slippers_pink.png,processed,diresize ke 100x100,128x128,76.3 KB,9.3 KB
jpx_labubu_slippers_whitebrown.png,jpx_labubu_slippers_whitebrown.png,processed,diresize ke 100x100,128x128,76.6 KB,9.5 KB
jpx_lbb_flip_with_me.png,jpx_lbb_flip_with_me.png,processed,diresize ke 100x100,128x128,76.7 KB,10.2 KB
jpx_lbb_flip_with_me2.png,jpx_lbb_flip_with_me2.png,processed,diresize ke 100x100,128x128,75.7 KB,9.7 KB
jpx_lbb_flip_with_me3.png,jpx_lbb_flip_with_me3.png,processed,diresize ke 100x100,128x128,75.4 KB,9.0 KB
jpx_lbb_flip_with_me4.png,jpx_lbb_flip_with_me4.png,processed,diresize ke 100x100,128x128,76.1 KB,9.5 KB
jpx_lbb_flip_with_me5.png,jpx_lbb_flip_with_me5.png,processed,diresize ke 100x100,128x128,78.1 KB,10.3 KB
jpx_light_fury_float.png,jpx_light_fury_float.png,processed,diresize ke 100x100,120x120,74.3 KB,8.3 KB
jpx_light_fury_ground.png,jpx_light_fury_ground.png,processed,diresize ke 100x100,120x120,76.9 KB,10.0 KB
jpx_light_fury_hold.png,jpx_light_fury_hold.png,processed,diresize ke 100x100,120x120,71.2 KB,5.3 KB
jpx_light_fury_mount.png,jpx_light_fury_mount.png,processed,diresize ke 100x100,120x120,75.3 KB,5.9 KB
jpx_light_fury_shoulder.png,jpx_light_fury_shoulder.png,processed,diresize ke 100x100,120x120,76.1 KB,9.2 KB
jpx_munchkin_cat_angel.png,jpx_munchkin_cat_angel.png,processed,diresize ke 100x100,120x120,76.8 KB,10.4 KB
jpx_munchkin_cat_angel2.png,jpx_munchkin_cat_angel2.png,processed,diresize ke 100x100,120x120,77.8 KB,11.0 KB
jpx_munchkin_cat_back_dance.png,jpx_munchkin_cat_back_dance.png,processed,diresize ke 100x100,120x120,75.2 KB,10.2 KB
jpx_munchkin_cat_back_dance2.png,jpx_munchkin_cat_back_dance2.png,processed,diresize ke 100x100,120x120,75.7 KB,10.5 KB
jpx_munchkin_cat_dance.png,jpx_munchkin_cat_dance.png,processed,diresize ke 100x100,120x120,72.6 KB,8.2 KB
jpx_munchkin_cat_dance2.png,jpx_munchkin_cat_dance2.png,processed,diresize ke 100x100,120x120,74.7 KB,9.4 KB
jpx_munchkin_cat_flying.png,jpx_munchkin_cat_flying.png,processed,diresize ke 100x100,120x120,75.2 KB,10.1 KB
jpx_munchkin_cat_flying2.png,jpx_munchkin_cat_flying2.png,processed,diresize ke 100x100,120x120,76.4 KB,10.6 KB
jpx_munchkin_cat_hat.png,jpx_munchkin_cat_hat.png,processed,diresize ke 100x100,120x120,75.8 KB,11.0 KB
jpx_munchkin_cat_hat2.png,jpx_munchkin_cat_hat2.png,processed,diresize ke 100x100,120x120,77.2 KB,11.8 KB
jpx_munchkin_cat_head.png,jpx_munchkin_cat_head.png,processed,diresize ke 100x100,120x120,77.1 KB,11.5 KB
jpx_munchkin_cat_head2.png,jpx_munchkin_cat_head2.png,processed,diresize ke 100x100,120x120,78.5 KB,12.5 KB
jpx_munchkin_cat_hiphop_dance.png,jpx_munchkin_cat_hiphop_dance.png,processed,diresize ke 100x100,120x120,76.3 KB,10.7 KB
jpx_munchkin_cat_hiphop_dance2.png,jpx_munchkin_cat_hiphop_dance2.png,processed,diresize ke 100x100,120x120,77.1 KB,11.3 KB
jpx_munchkin_cat_mouth.png,jpx_munchkin_cat_mouth.png,processed,diresize ke 100x100,120x120,71.2 KB,7.6 KB
jpx_munchkin_cat_mouth2.png,jpx_munchkin_cat_mouth2.png,processed,diresize ke 100x100,120x120,72.5 KB,8.4 KB
jpx_munchkin_cat_round_run.png,jpx_munchkin_cat_round_run.png,processed,diresize ke 100x100,120x120,78.2 KB,12.2 KB
jpx_munchkin_cat_round_run2.png,jpx_munchkin_cat_round_run2.png,processed,diresize ke 100x100,120x120,79.4 KB,13.0 KB
jpx_munchkin_cat_run_see.png,jpx_munchkin_cat_run_see.png,processed,diresize ke 100x100,120x120,77.4 KB,11.5 KB
jpx_munchkin_cat_run_see2.png,jpx_munchkin_cat_run_see2.png,processed,diresize ke 100x100,120x120,78.9 KB,12.3 KB
jpx_munchkin_cat_scared.png,jpx_munchkin_cat_scared.png,processed,diresize ke 100x100,120x120,73.5 KB,9.1 KB
jpx_munchkin_cat_scared2.png,jpx_munchkin_cat_scared2.png,processed,diresize ke 100x100,120x120,75.4 KB,10.2 KB
jpx_munchkin_cat_see.png,jpx_munchkin_cat_see.png,processed,diresize ke 100x100,120x120,76.4 KB,10.9 KB
jpx_munchkin_cat_see2.png,jpx_munchkin_cat_see2.png,processed,diresize ke 100x100,120x120,78.5 KB,12.0 KB
jpx_munchkin_cat_shoulder.png,jpx_munchkin_cat_shoulder.png,processed,diresize ke 100x100,120x120,72.9 KB,8.5 KB
jpx_munchkin_cat_shoulder2.png,jpx_munchkin_cat_shoulder2.png,processed,diresize ke 100x100,120x120,75.5 KB,10.0 KB
jpx_munchkin_cat_swimming.png,jpx_munchkin_cat_swimming.png,processed,diresize ke 100x100,120x120,74.5 KB,9.4 KB
jpx_munchkin_cat_swimming2.png,jpx_munchkin_cat_swimming2.png,processed,diresize ke 100x100,120x120,75.7 KB,10.1 KB
jpx_pterosaur.png,jpx_pterosaur.png,processed,diresize ke 100x100,120x120,79.9 KB,11.0 KB
jpx_pterosaur2.png,jpx_pterosaur2.png,processed,diresize ke 100x100,120x120,76.9 KB,8.8 KB
jpx_pumpkin_cat.png,jpx_pumpkin_cat.png,processed,diresize ke 100x100,120x120,76.9 KB,10.6 KB
jpx_pumpkin_maid.png,jpx_pumpkin_maid.png,processed,diresize ke 100x100,120x120,75.5 KB,9.6 KB
jpx_pumpkin_spirit.png,jpx_pumpkin_spirit.png,processed,diresize ke 100x100,120x120,69.7 KB,6.0 KB
jpx_sauropod.png,jpx_sauropod.png,processed,diresize ke 100x100,120x120,74.7 KB,7.9 KB
jpx_sauropod2.png,jpx_sauropod2.png,processed,diresize ke 100x100,120x120,77.7 KB,9.1 KB
jpx_school_backpack.png,jpx_school_backpack.png,processed,diresize ke 100x100,128x128,78.2 KB,10.1 KB
jpx_school_ballons.png,jpx_school_ballons.png,processed,diresize ke 100x100,128x128,72.3 KB,5.6 KB
jpx_school_book.png,jpx_school_book.png,processed,diresize ke 100x100,128x128,70.8 KB,5.6 KB
jpx_school_handbag.png,jpx_school_handbag.png,processed,diresize ke 100x100,128x128,66.3 KB,3.7 KB
jpx_school_handbag2.png,jpx_school_handbag2.png,processed,diresize ke 100x100,128x128,70.1 KB,6.4 KB
jpx_school_paper.png,jpx_school_paper.png,processed,diresize ke 100x100,128x128,74.8 KB,8.4 KB
jpx_school_pencil_backpack.png,jpx_school_pencil_backpack.png,processed,diresize ke 100x100,128x128,68.1 KB,3.9 KB
jpx_school_pencil_earing.png,jpx_school_pencil_earing.png,processed,diresize ke 100x100,128x128,64.2 KB,1.7 KB
jpx_school_pencil_mask.png,jpx_school_pencil_mask.png,processed,diresize ke 100x100,128x128,64.6 KB,2.2 KB
jpx_school_pet.png,jpx_school_pet.png,processed,diresize ke 100x100,128x128,70.5 KB,5.6 KB
jpx_school_pet2.png,jpx_school_pet2.png,processed,diresize ke 100x100,128x128,67.7 KB,4.0 KB
jpx_school_pet2_flying.png,jpx_school_pet2_flying.png,processed,diresize ke 100x100,128x128,70.5 KB,5.6 KB
jpx_school_pet_flying.png,jpx_school_pet_flying.png,processed,diresize ke 100x100,128x128,71.3 KB,6.4 KB
jpx_scream_mask.png,jpx_scream_mask.png,processed,diresize ke 100x100,120x120,66.8 KB,4.5 KB
jpx_soul_magic_circle.png,jpx_soul_magic_circle.png,processed,diresize ke 100x100,120x120,73.4 KB,10.3 KB
jpx_spirit.png,jpx_spirit.png,processed,diresize ke 100x100,120x120,71.1 KB,7.2 KB
jpx_spirit_doll.png,jpx_spirit_doll.png,processed,diresize ke 100x100,120x120,67.4 KB,4.9 KB
jpx_stegosaurus.png,jpx_stegosaurus.png,processed,diresize ke 100x100,120x120,79.2 KB,11.1 KB
jpx_stegosaurus2.png,jpx_stegosaurus2.png,processed,diresize ke 100x100,120x120,81.1 KB,11.4 KB
jpx_toothless_float.png,jpx_toothless_float.png,processed,diresize ke 100x100,120x120,77.9 KB,10.2 KB
jpx_toothless_fly.png,jpx_toothless_fly.png,processed,diresize ke 100x100,120x120,74.6 KB,7.8 KB
jpx_toothless_ground.png,jpx_toothless_ground.png,processed,diresize ke 100x100,120x120,78.2 KB,10.6 KB
jpx_toothless_head.png,jpx_toothless_head.png,processed,diresize ke 100x100,120x120,78.2 KB,11.0 KB
jpx_toothless_hold.png,jpx_toothless_hold.png,processed,diresize ke 100x100,120x120,75.1 KB,8.9 KB
jpx_toothless_play.png,jpx_toothless_play.png,processed,diresize ke 100x100,120x120,73.9 KB,7.8 KB
jpx_toothless_shoulder.png,jpx_toothless_shoulder.png,processed,diresize ke 100x100,120x120,76.6 KB,9.9 KB
jpx_trex.png,jpx_trex.png,processed,diresize ke 100x100,120x120,76.9 KB,10.4 KB
jpx_trex2.png,jpx_trex2.png,processed,diresize ke 100x100,120x120,77.4 KB,10.8 KB
jpx_triceratops.png,jpx_triceratops.png,processed,diresize ke 100x100,120x120,82.0 KB,13.1 KB
jpx_triceratops2.png,jpx_triceratops2.png,processed,diresize ke 100x100,120x120,81.1 KB,12.0 KB
jpx_witch_cat.png,jpx_witch_cat.png,processed,diresize ke 100x100,120x120,78.2 KB,11.3 KB
jpx_witch_cauldron.png,jpx_witch_cauldron.png,processed,diresize ke 100x100,120x120,73.9 KB,7.0 KB
jpx_witch_headwear.png,jpx_witch_headwear.png,processed,diresize ke 100x100,120x120,72.9 KB,7.8 KB
jpx_witch_moon.png,jpx_witch_moon.png,processed,diresize ke 100x100,120x120,77.0 KB,11.6 KB
